"seconds","traffic"
1.0,	180
2.0,	181
3.0,	180
4.0,	181
5.0,	180
6.0,	181
7.0,	180
8.0,	181
9.0,	180
10.0,	181
11.0,	180
12.0,	181
13.0,	180
14.0,	181
15.0,	180
16.0,	181
17.0,	180
18.0,	181
19.0,	180
20.0,	181
21.0,	180
22.0,	181
23.0,	180
24.0,	181
25.0,	180
26.0,	181
27.0,	180
28.0,	181
29.0,	180
30.0,	181
31.0,	180
32.0,	181
33.0,	180
34.0,	181
35.0,	180
36.0,	181
37.0,	180
38.0,	181
39.0,	180
40.0,	181
41.0,	180
42.0,	181
43.0,	180
44.0,	181
45.0,	180
46.0,	181
47.0,	180
48.0,	181
49.0,	180
50.0,	181
51.0,	180
52.0,	181
53.0,	180
54.0,	181
55.0,	180
56.0,	181
57.0,	180
58.0,	181
59.0,	180
60.0,	181
61.0,	180
62.0,	181
63.0,	180
64.0,	181
65.0,	180
66.0,	181
67.0,	180
68.0,	181
69.0,	180
70.0,	181
71.0,	180
72.0,	181
73.0,	180
74.0,	181
75.0,	180
76.0,	181
77.0,	180
78.0,	181
79.0,	180
80.0,	181
81.0,	180
82.0,	181
83.0,	180
84.0,	181
85.0,	180
86.0,	181
87.0,	180
88.0,	181
89.0,	180
90.0,	181
91.0,	180
92.0,	181
93.0,	180
94.0,	181
95.0,	180
96.0,	181
97.0,	180
98.0,	181
99.0,	180
100.0,	181
101.0,	180
102.0,	181
103.0,	180
104.0,	181
105.0,	180
106.0,	181
107.0,	180
108.0,	181
109.0,	180
110.0,	181
111.0,	180
112.0,	181
113.0,	180
114.0,	181
115.0,	180
116.0,	181
117.0,	180
118.0,	181
119.0,	180
120.0,	181
121.0,	180
122.0,	181
123.0,	180
124.0,	181
125.0,	180
126.0,	181
127.0,	180
128.0,	181
129.0,	180
130.0,	181
131.0,	180
132.0,	181
133.0,	180
134.0,	181
135.0,	180
136.0,	181
137.0,	180
138.0,	181
139.0,	180
140.0,	181
141.0,	180
142.0,	181
143.0,	180
144.0,	181
145.0,	180
146.0,	181
147.0,	180
148.0,	181
149.0,	180
150.0,	181
151.0,	180
152.0,	181
153.0,	180
154.0,	181
155.0,	180
156.0,	181
157.0,	180
158.0,	181
159.0,	180
160.0,	181
161.0,	180
162.0,	181
163.0,	180
164.0,	181
165.0,	180
166.0,	181
167.0,	180
168.0,	181
169.0,	180
170.0,	181
171.0,	180
172.0,	181
173.0,	180
174.0,	181
175.0,	180
176.0,	181
177.0,	180
178.0,	181
179.0,	180
180.0,	181
181.0,	180
182.0,	181
183.0,	180
184.0,	181
185.0,	180
186.0,	181
187.0,	180
188.0,	181
189.0,	180
190.0,	181
191.0,	180
192.0,	181
193.0,	180
194.0,	181
195.0,	180
196.0,	181
197.0,	180
198.0,	181
199.0,	180
200.0,	181
201.0,	180
202.0,	181
203.0,	180
204.0,	181
205.0,	180
206.0,	181
207.0,	180
208.0,	181
209.0,	180
210.0,	181
211.0,	180
212.0,	181
213.0,	180
214.0,	181
215.0,	180
216.0,	181
217.0,	180
218.0,	181
219.0,	180
220.0,	181
221.0,	180
222.0,	181
223.0,	180
224.0,	181
225.0,	180
226.0,	181
227.0,	180
228.0,	181
229.0,	180
230.0,	181
231.0,	180
232.0,	181
233.0,	180
234.0,	181
235.0,	180
236.0,	181
237.0,	180
238.0,	181
239.0,	180
240.0,	181
241.0,	180
242.0,	181
243.0,	180
244.0,	181
245.0,	180
246.0,	181
247.0,	180
248.0,	181
249.0,	180
250.0,	181
251.0,	180
252.0,	181
253.0,	180
254.0,	181
255.0,	180
256.0,	181
257.0,	180
258.0,	181
259.0,	180
260.0,	181
261.0,	180
262.0,	181
263.0,	180
264.0,	181
265.0,	180
266.0,	181
267.0,	180
268.0,	181
269.0,	180
270.0,	181
271.0,	180
272.0,	181
273.0,	180
274.0,	181
275.0,	180
276.0,	181
277.0,	180
278.0,	181
279.0,	180
280.0,	181
281.0,	180
282.0,	181
283.0,	180
284.0,	181
285.0,	180
286.0,	181
287.0,	180
288.0,	181
289.0,	180
290.0,	181
291.0,	180
292.0,	181
293.0,	180
294.0,	181
295.0,	180
296.0,	181
297.0,	180
298.0,	181
299.0,	180
300.0,	181
