"seconds","traffic"
1.0,	30
2.0,	31
3.0,	30
4.0,	31
5.0,	30
6.0,	31
7.0,	30
8.0,	31
9.0,	30
10.0,	31
11.0,	30
12.0,	31
13.0,	30
14.0,	31
15.0,	30
16.0,	31
17.0,	30
18.0,	31
19.0,	30
20.0,	31
21.0,	30
22.0,	31
23.0,	30
24.0,	31
25.0,	30
26.0,	31
27.0,	30
28.0,	31
29.0,	30
30.0,	31
31.0,	30
32.0,	31
33.0,	30
34.0,	31
35.0,	30
36.0,	31
37.0,	30
38.0,	31
39.0,	30
40.0,	31
41.0,	30
42.0,	31
43.0,	30
44.0,	31
45.0,	30
46.0,	31
47.0,	30
48.0,	31
49.0,	30
50.0,	31
51.0,	30
52.0,	31
53.0,	30
54.0,	31
55.0,	30
56.0,	31
57.0,	30
58.0,	31
59.0,	30
60.0,	31
61.0,	30
62.0,	31
63.0,	30
64.0,	31
65.0,	30
66.0,	31
67.0,	30
68.0,	31
69.0,	30
70.0,	31
71.0,	30
72.0,	31
73.0,	30
74.0,	31
75.0,	30
76.0,	31
77.0,	30
78.0,	31
79.0,	30
80.0,	31
81.0,	30
82.0,	31
83.0,	30
84.0,	31
85.0,	30
86.0,	31
87.0,	30
88.0,	31
89.0,	30
90.0,	31
91.0,	30
92.0,	31
93.0,	30
94.0,	31
95.0,	30
96.0,	31
97.0,	30
98.0,	31
99.0,	30
100.0,	31
101.0,	30
102.0,	31
103.0,	30
104.0,	31
105.0,	30
106.0,	31
107.0,	30
108.0,	31
109.0,	30
110.0,	31
111.0,	30
112.0,	31
113.0,	30
114.0,	31
115.0,	30
116.0,	31
117.0,	30
118.0,	31
119.0,	30
120.0,	31
121.0,	30
122.0,	31
123.0,	30
124.0,	31
125.0,	30
126.0,	31
127.0,	30
128.0,	31
129.0,	30
130.0,	31
131.0,	30
132.0,	31
133.0,	30
134.0,	31
135.0,	30
136.0,	31
137.0,	30
138.0,	31
139.0,	30
140.0,	31
141.0,	30
142.0,	31
143.0,	30
144.0,	31
145.0,	30
146.0,	31
147.0,	30
148.0,	31
149.0,	30
150.0,	31
151.0,	30
152.0,	31
153.0,	30
154.0,	31
155.0,	30
156.0,	31
157.0,	30
158.0,	31
159.0,	30
160.0,	31
161.0,	30
162.0,	31
163.0,	30
164.0,	31
165.0,	30
166.0,	31
167.0,	30
168.0,	31
169.0,	30
170.0,	31
171.0,	30
172.0,	31
173.0,	30
174.0,	31
175.0,	30
176.0,	31
177.0,	30
178.0,	31
179.0,	30
180.0,	31
181.0,	30
182.0,	31
183.0,	30
184.0,	31
185.0,	30
186.0,	31
187.0,	30
188.0,	31
189.0,	30
190.0,	31
191.0,	30
192.0,	31
193.0,	30
194.0,	31
195.0,	30
196.0,	31
197.0,	30
198.0,	31
199.0,	30
200.0,	31
201.0,	30
202.0,	31
203.0,	30
204.0,	31
205.0,	30
206.0,	31
207.0,	30
208.0,	31
209.0,	30
210.0,	31
211.0,	30
212.0,	31
213.0,	30
214.0,	31
215.0,	30
216.0,	31
217.0,	30
218.0,	31
219.0,	30
220.0,	31
221.0,	30
222.0,	31
223.0,	30
224.0,	31
225.0,	30
226.0,	31
227.0,	30
228.0,	31
229.0,	30
230.0,	31
231.0,	30
232.0,	31
233.0,	30
234.0,	31
235.0,	30
236.0,	31
237.0,	30
238.0,	31
239.0,	30
240.0,	31
241.0,	30
242.0,	31
243.0,	30
244.0,	31
245.0,	30
246.0,	31
247.0,	30
248.0,	31
249.0,	30
250.0,	31
251.0,	30
252.0,	31
253.0,	30
254.0,	31
255.0,	30
256.0,	31
257.0,	30
258.0,	31
259.0,	30
260.0,	31
261.0,	30
262.0,	31
263.0,	30
264.0,	31
265.0,	30
266.0,	31
267.0,	30
268.0,	31
269.0,	30
270.0,	31
271.0,	30
272.0,	31
273.0,	30
274.0,	31
275.0,	30
276.0,	31
277.0,	30
278.0,	31
279.0,	30
280.0,	31
281.0,	30
282.0,	31
283.0,	30
284.0,	31
285.0,	30
286.0,	31
287.0,	30
288.0,	31
289.0,	30
290.0,	31
291.0,	30
292.0,	31
293.0,	30
294.0,	31
295.0,	30
296.0,	31
297.0,	30
298.0,	31
299.0,	30
300.0,	31
